"raw","day","dd.mm","home.team","away.team","home.score","away.score"
"  Columbus Crew SC        2-2  New York City FC","Wed","19.08","Columbus Crew SC","New York City FC",2,2
"  Sporting Kansas City    0-5  San Jose Earthquakes","Wed","19.08","Sporting Kansas City","San Jose Earthquakes",0,5
"  Portland Timbers        2-2  Houston Dynamo","Fri","21.08","Portland Timbers","Houston Dynamo",2,2
"  Toronto FC              5-0  Orlando City SC","Sat","22.08","Toronto FC","Orlando City SC",5,0
"  D.C. United             0-2  San Jose Earthquakes","Sat","22.08","D.C. United","San Jose Earthquakes",0,2
"  Columbus Crew SC        3-2  Sporting Kansas City","Sat","22.08","Columbus Crew SC","Sporting Kansas City",3,2
"  Montreal Impact         0-1  Philadelphia Union","Sat","22.08","Montreal Impact","Philadelphia Union",0,1
"  Chicago Fire            0-1  Colorado Rapids","Sat","22.08","Chicago Fire","Colorado Rapids",0,1
"  Real Salt Lake          2-0  Seattle Sounders FC","Sat","22.08","Real Salt Lake","Seattle Sounders FC",2,0
"  Vancouver Whitecaps FC  1-0  FC Dallas","Sat","22.08","Vancouver Whitecaps FC","FC Dallas",1,0
"  LA Galaxy               5-1  New York City FC","Sun","23.08","LA Galaxy","New York City FC",5,1
"  Chicago Fire            3-2  New York Red Bulls","Wed","26.08","Chicago Fire","New York Red Bulls",3,2
"  Colorado Rapids         2-1  Houston Dynamo","Wed","26.08","Colorado Rapids","Houston Dynamo",2,1
"  San Jose Earthquakes    1-0  LA Galaxy","Fri","28.08","San Jose Earthquakes","LA Galaxy",1,0
"  New York City FC        1-2  Columbus Crew SC","Sat","29.08","New York City FC","Columbus Crew SC",1,2
"  Toronto FC              2-1  Montreal Impact","Sat","29.08","Toronto FC","Montreal Impact",2,1
"  Philadelphia Union      0-1  New England Revolution","Sat","29.08","Philadelphia Union","New England Revolution",0,1
"  Colorado Rapids         2-1  Sporting Kansas City","Sat","29.08","Colorado Rapids","Sporting Kansas City",2,1
